Date,ABCB,ALLY,AMTB,ASB,AUB,AX,AXP,BAC,BANC,BANF,BHB,BKU,BNY,BOH,BOKF,BRBS,C,CASH,CFFI,CFFN,CFG,CFR,CIVB,COF,CUBI,EWBC,FBK,FFIN,FHN,FITB,FNB,FULT,GBCI,HBAN,HOMB,HTH,KEY,MTB,NTB,ONB,PB,PNC,PNFP,RF,SCHW,SFBS,SSB,STT,SYF,TBBK,TCBI,TRMK,UBSI,USB,VLY,WAL,WBS,WFC,WSBC,WTFC,ZION
2021-10-14,49.685184478759766,45.35184097290039,23.922927856445312,18.178659439086914,31.3114013671875,54.779998779296875,161.7977294921875,40.08055877685547,17.479827880859375,58.452964782714844,23.668561935424805,35.92538070678711,49.58843231201172,67.2550277709961,83.82450866699219,13.731013298034668,59.993412017822266,59.22561264038086,45.08036804199219,8.682994842529297,39.280330657958984,106.90264892578125,21.634675979614258,152.55551147460938,44.400001525878906,72.57661437988281,41.855865478515625,43.40632629394531,14.300858497619629,36.23203659057617,10.165124893188477,13.332762718200684,46.71735382080078,13.002880096435547,20.840330123901367,30.692174911499023,18.367557525634766,129.8882598876953,30.246707916259766,14.839621543884277,63.107051849365234,169.5970001220703,96.5914306640625,18.167898178100586,73.27128601074219,70.02435302734375,68.97156524658203,78.80107116699219,44.545799255371094,29.540000915527344,60.7376594543457,28.957765579223633,30.07139015197754,48.67497634887695,11.092143058776855,102.565673828125,49.1998176574707,40.34461212158203,30.146263122558594,76.88959503173828,53.05497741699219
2021-10-15,48.83796691894531,46.78345489501953,24.275829315185547,18.18695831298828,31.294649124145508,54.22999954223633,165.8542022705078,41.236637115478516,16.989320755004883,58.5540885925293,23.61876678466797,35.763545989990234,50.105613708496094,67.56358337402344,84.42198181152344,14.142256736755371,61.25600051879883,59.727027893066406,44.45520782470703,8.653782844543457,39.419681549072266,107.31919860839844,21.711912155151367,154.7334747314453,45.540000915527344,73.21327209472656,41.939579010009766,43.1710090637207,14.283855438232422,36.40739059448242,10.156659126281738,13.193195343017578,46.52755355834961,13.059553146362305,20.866477966308594,30.456628799438477,18.217195510864258,129.9828338623047,30.635705947875977,14.735908508300781,62.65502166748047,166.77456665039062,94.35942077636719,18.422517776489258,75.88847351074219,69.55401611328125,68.76728820800781,79.67752838134766,45.09397506713867,29.81999969482422,60.08896255493164,28.705812454223633,29.889995574951172,48.79649353027344,11.051569938659668,103.15187072753906,49.01915740966797,43.07817077636719,29.82332420349121,77.5638198852539,52.631492614746094
2021-10-18,48.602622985839844,46.749366760253906,24.647300720214844,18.162063598632812,30.767213821411133,53.22999954223633,166.8070068359375,41.15660858154297,16.712854385375977,58.02086639404297,23.328304290771484,35.84020233154297,50.32476043701172,68.12384033203125,84.02960968017578,14.370726585388184,60.679779052734375,60.46440124511719,44.715702056884766,8.580755233764648,39.65739440917969,107.37126922607422,21.366735458374023,155.45025634765625,46.52000045776367,74.3273696899414,42.21862030029297,43.1076545715332,14.224343299865723,36.78315353393555,10.266690254211426,13.16856575012207,46.82088851928711,13.108136177062988,20.58756446838379,30.501934051513672,18.233028411865234,129.73341369628906,31.11203384399414,14.779123306274414,63.06439971923828,168.2067413330078,95.47543334960938,18.537506103515625,75.56013488769531,70.83589172363281,68.12772369384766,81.44755554199219,45.83984375,29.65999984741211,60.60791778564453,28.618925094604492,29.69209861755371,49.08005905151367,10.937973022460938,105.18096923828125,49.07938003540039,44.01310729980469,29.629566192626953,77.60078430175781,52.70772933959961
2021-10-19,48.92268371582031,46.57894515991211,24.74945640563965,18.402677536010742,30.85930633544922,53.09000015258789,167.26919555664062,41.3344612121582,16.543407440185547,58.02086639404297,23.361501693725586,36.087196350097656,50.535152435302734,69.11444854736328,84.60032653808594,14.248873710632324,60.806880950927734,59.68769454956055,45.27138137817383,8.588059425354004,40.247589111328125,109.25453186035156,21.142366409301758,156.0291748046875,46.220001220703125,74.55726623535156,41.98607635498047,43.53303146362305,14.470906257629395,36.68295669555664,10.435969352722168,13.135727882385254,46.50167465209961,13.229580879211426,20.7967529296875,30.837121963500977,18.359643936157227,130.4215087890625,30.810359954833984,15.168044090270996,63.68704605102539,173.22348022460938,93.97166442871094,18.742835998535156,76.48878479003906,73.27979278564453,68.88274383544922,83.39802551269531,47.05301284790039,29.889999389648438,61.36639404296875,28.6536808013916,29.889995574951172,49.703880310058594,10.970430374145508,105.94755554199219,49.07938003540039,44.82337951660156,29.556909561157227,78.14570617675781,53.57164001464844
2021-10-20,50.19352340698242,47.558921813964844,24.814468383789062,19.00006103515625,31.512325286865234,53.560001373291016,169.4295654296875,41.87693786621094,17.024993896484375,59.243621826171875,23.793045043945312,37.194435119628906,51.99028015136719,69.78836822509766,88.85396575927734,14.064920425415039,60.85772705078125,60.42506408691406,46.018096923828125,8.675691604614258,41.7066650390625,112.21390533447266,21.556577682495117,159.20875549316406,47.20000076293945,75.84821319580078,42.776702880859375,44.61908721923828,14.683462142944336,38.0691032409668,10.37672233581543,14.014175415039062,48.028724670410156,13.521053314208984,21.555055618286133,31.271961212158203,18.771150588989258,137.96434020996094,31.41370391845703,15.358189582824707,65.02609252929688,178.22344970703125,95.10657501220703,19.31777000427246,76.53571319580078,73.73168182373047,70.90792083740234,85.38288879394531,46.67558288574219,30.899999618530273,63.16277313232422,29.201038360595703,30.376474380493164,50.70038986206055,11.24631404876709,107.34537506103516,50.42143249511719,44.66311264038086,30.00094223022461,84.80484008789062,55.13855743408203
2021-10-21,50.47593688964844,45.1387939453125,24.610153198242188,18.917089462280273,31.219303131103516,53.0,167.42018127441406,41.64572525024414,17.613601684570312,59.28957748413086,23.568973541259766,36.11275863647461,52.36721420288086,69.60162353515625,89.14823913574219,13.988271713256836,59.7476692199707,60.533226013183594,45.61869430541992,8.639180183410645,40.54268264770508,111.96223449707031,21.418506622314453,152.2614288330078,47.70000076293945,75.45918273925781,42.80459976196289,44.347572326660156,14.385881423950195,37.64324188232422,10.215907096862793,13.69399356842041,48.356563568115234,13.351024627685547,21.39816665649414,31.145130157470703,18.818635940551758,137.40525817871094,31.3978214263916,15.219902038574219,64.4802474975586,178.16476440429688,93.34744262695312,19.120651245117188,77.14544677734375,72.78179168701172,70.5970458984375,84.32601928710938,44.11444854736328,31.760000228881836,59.73966979980469,29.070707321166992,30.392974853515625,50.37631607055664,11.051569938659668,107.53475952148438,49.43211364746094,44.81447982788086,29.879846572875977,84.241455078125,54.689659118652344
2021-10-22,51.21962356567383,43.20439529418945,24.703025817871094,18.76774787902832,30.89279556274414,53.16999816894531,176.4860076904297,42.30379867553711,17.88115119934082,59.0137825012207,24.34907341003418,35.21845626831055,52.34090805053711,70.20247650146484,90.78907012939453,13.919288635253906,60.47642135620117,60.926483154296875,45.714202880859375,8.675691604614258,41.214839935302734,113.95830535888672,21.642881393432617,154.2371826171875,47.869998931884766,74.84021759033203,43.5021858215332,46.193885803222656,14.504916191101074,37.98560333251953,10.292081832885742,13.808931350708008,49.23655700683594,13.504860877990723,21.37201499938965,31.416900634765625,19.024389266967773,137.50851440429688,31.58041763305664,15.358189582824707,64.78729248046875,180.9705352783203,92.95022583007812,19.785930633544922,78.37428283691406,72.91090393066406,70.63258361816406,85.40866088867188,44.20431137084961,31.829999923706055,60.41830062866211,29.409547805786133,30.590866088867188,50.83001708984375,11.19762897491455,110.04185485839844,50.0171012878418,45.10832214355469,30.11397361755371,85.05421447753906,56.23115539550781
2021-10-25,51.737369537353516,43.766815185546875,25.0373477935791,19.033245086669922,31.252796173095703,52.90999984741211,171.9861297607422,42.25043487548828,18.478673934936523,59.455074310302734,24.896800994873047,35.95092010498047,52.069183349609375,71.20932006835938,91.77889251708984,14.17989444732666,60.01884078979492,61.7326774597168,45.77497863769531,8.653782844543457,41.23942565917969,114.2620620727539,21.772319793701172,155.00912475585938,47.84000015258789,74.36273193359375,43.43708419799805,45.89521789550781,14.42839527130127,38.06075668334961,10.249763488769531,13.800722122192383,48.14950942993164,13.472474098205566,21.37201499938965,31.74303436279297,19.04813003540039,136.75160217285156,31.675691604614258,15.617466926574707,64.27555084228516,181.37249755859375,94.15135955810547,19.8927059173584,77.75517272949219,73.75013732910156,69.9930419921875,84.72127532958984,43.93471908569336,32.310001373291016,59.46023178100586,29.452993392944336,30.8877010345459,50.65177917480469,11.303112983703613,106.90349578857422,50.56768798828125,45.072696685791016,30.428836822509766,85.07270050048828,56.00249099731445
2021-10-26,51.050167083740234,42.9146614074707,24.712308883666992,19.041545867919922,30.85930633544922,52.83000183105469,170.703125,42.6506233215332,18.60352897644043,58.977012634277344,24.548246383666992,35.26103591918945,51.80620193481445,71.30674743652344,90.35211181640625,13.972944259643555,59.86631393432617,60.64136505126953,45.7402458190918,8.602664947509766,40.673828125,113.1164779663086,21.660139083862305,151.489501953125,47.7400016784668,73.3370361328125,42.851097106933594,46.16673278808594,14.266849517822266,37.40108108520508,10.207444190979004,13.579059600830078,47.89931106567383,13.334834098815918,21.136680603027344,31.20855140686035,18.90568733215332,133.63816833496094,31.477222442626953,15.496471405029297,64.8128890991211,180.96212768554688,93.5744400024414,19.7777156829834,77.91462707519531,73.66712951660156,68.91827392578125,84.43772888183594,43.9886360168457,31.34000015258789,59.87938690185547,29.131526947021484,30.59910011291504,50.58696746826172,11.270655632019043,106.88545227050781,49.707393646240234,45.081607818603516,30.130125045776367,84.23222351074219,55.29948806762695
2021-10-27,49.49692153930664,40.30706024169922,24.610153198242188,18.3197078704834,29.109556198120117,51.040000915527344,167.94847106933594,41.83247375488281,17.87223243713379,58.241519927978516,24.1416015625,34.273048400878906,51.23641586303711,68.22940063476562,88.36351776123047,13.942283630371094,59.57819366455078,58.09497833251953,44.77647018432617,8.434701919555664,39.026222229003906,110.85137176513672,20.762664794921875,140.14044189453125,45.810001373291016,70.01237487792969,41.539615631103516,44.21181106567383,14.181827545166016,36.10678482055664,9.76732063293457,13.111095428466797,46.17383575439453,12.930010795593262,20.212766647338867,30.601585388183594,18.430870056152344,128.24551391601562,30.0006046295166,14.84826374053955,63.00470733642578,178.3155975341797,90.15074920654297,19.1945743560791,76.12297058105469,72.4682388305664,66.01375579833984,82.69345092773438,41.94872283935547,30.459999084472656,58.07302474975586,26.95079803466797,29.098421096801758,48.83699417114258,10.889288902282715,103.03462219238281,47.505062103271484,44.56515884399414,27.885698318481445,81.76620483398438,53.25825500488281
