Date,Mkt-RF,SMB,HML,RF
2020-02-05,0.97,0.33,1.47,0.006
2020-02-06,0.27,-0.44,-0.84,0.006
2020-02-07,-0.55,-0.79,-0.04,0.006
2020-02-10,0.73,-0.01,-0.89,0.006
2020-02-11,0.28,0.05,1.05,0.006
2020-02-12,0.66,0.15,-0.34,0.006
2020-02-13,-0.09,0.19,0.01,0.006
2020-02-14,0.15,-0.39,-0.66,0.006
2020-02-18,-0.19,0.16,-0.65,0.006
2020-02-19,0.6,0.18,0.04,0.006
2020-02-20,-0.35,0.49,0.68,0.006
2020-02-21,-1.12,-0.09,-0.01,0.006
2020-02-24,-3.39,0.18,0.01,0.006
2020-02-25,-3.09,-0.11,-0.68,0.006
2020-02-26,-0.53,-0.38,-1.2,0.006
2020-02-27,-4.22,0.79,0.05,0.006
2020-02-28,-0.78,0.3,-0.8,0.006
2020-03-02,4.31,-1.68,-0.43,0.006
2020-03-03,-2.79,0.81,-0.63,0.006
2020-03-04,4.03,-1.08,-1.17,0.006
2020-03-05,-3.38,0.24,-1.4,0.006
2020-03-06,-1.78,0.06,-1.49,0.006
2020-03-09,-7.79,-0.38,-4.76,0.006
2020-03-10,4.74,-2.49,0.8,0.006
2020-03-11,-5.05,-0.82,-0.8,0.006
2020-03-12,-9.63,-0.43,-1.17,0.006
2020-03-13,8.96,-2.69,3.03,0.006
2020-03-16,-12,-0.24,-0.73,0.006
2020-03-17,5.87,0.86,-0.6,0.006
2020-03-18,-5.56,-3.56,-4.69,0.006
2020-03-19,1.31,5.47,0.82,0.006
2020-03-20,-4.15,0.35,-0.89,0.006
2020-03-23,-2.55,2.24,-3.29,0.006
2020-03-24,9.34,-1.27,2.37,0.006
2020-03-25,1.18,-0.77,1.91,0.006
2020-03-26,6.02,-0.72,1.09,0.006
2020-03-27,-3.48,-0.83,-0.78,0.006
2020-03-30,3.16,-0.28,-2.09,0.006
2020-03-31,-1.44,1.81,-0.37,0.006
2020-04-01,-4.5,-1.48,-1.39,0
2020-04-02,2.1,-0.98,-0.28,0
2020-04-03,-1.64,-1.12,-1.18,0
2020-04-06,7.06,0.76,0.31,0
2020-04-07,-0.11,-0.57,2.08,0
2020-04-08,3.4,0.3,1.29,0
2020-04-09,1.59,1.91,3.16,0
2020-04-13,-0.92,-0.84,-2.41,0
2020-04-14,3.02,-0.18,-3.16,0
2020-04-15,-2.15,-1.23,-2.55,0
2020-04-16,0.62,-0.21,-2.97,0
2020-04-17,2.72,0.74,2.77,0
2020-04-20,-1.56,0.78,-0.91,0
2020-04-21,-3.08,0.93,0.16,0
2020-04-22,2.31,-0.7,-1.64,0
2020-04-23,0.13,1.11,0.54,0
2020-04-24,1.44,0.26,-0.13,0
2020-04-27,1.73,1.6,2.71,0
2020-04-28,-0.45,0.99,2.85,0
2020-04-29,2.92,1.89,2,0
2020-04-30,-1.18,-1.43,-1.69,0
2020-05-01,-2.91,-0.55,-0.96,0
2020-05-04,0.54,0.21,-1.27,0
2020-05-05,0.95,0.03,-2.02,0
2020-05-06,-0.52,0.54,-2.7,0
2020-05-07,1.33,-0.06,0.41,0
2020-05-08,1.9,1.38,2.46,0
2020-05-11,0.07,0.48,-3.78,0
2020-05-12,-2.06,-0.83,-1.36,0
2020-05-13,-1.89,-0.89,-2.09,0
