Date,ABCB,ALLY,AMTB,ASB,AUB,AX,AXP,BAC,BANC,BANF,BHB,BHLB,BK,BKU,BOH,BOKF,BRBS,C,CADE,CASH,CFFI,CFFN,CFG,CFR,CIVB,CMA,COF,CUBI,DFS,EWBC,FBK,FFIN,FHN,FITB,FNB,FULT,GBCI,HBAN,HOMB,HTH,KEY,MTB,NTB,ONB,PB,PNC,PNFP,RF,SCHW,SFBS,SSB,STT,SYF,TBBK,TCBI,TRMK,UBSI,USB,VLY,WAL,WBS,WFC,WSBC,WTFC,ZION
2023-02-23,46.82712936401367,28.087188720703125,28.116104125976562,21.219385147094727,34.86461639404297,47.709999084472656,170.17015075683594,32.19776916503906,16.608285903930664,86.28262329101562,27.554513931274414,27.778024673461914,46.95751190185547,32.140560150146484,66.82242584228516,97.53805541992188,12.010431289672852,46.19335174560547,24.591636657714844,50.930450439453125,55.821998596191406,7.389805316925049,37.560340881347656,119.55420684814453,19.98028564453125,61.633392333984375,105.49974822998047,30.920000076293945,105.62866973876953,71.44137573242188,35.88642120361328,35.65057373046875,22.65410614013672,32.762908935546875,13.080463409423828,15.585550308227539,43.832725524902344,13.52507495880127,22.562801361083984,32.15523910522461,15.891368865966797,142.9650421142578,32.2430419921875,16.703371047973633,68.48468017578125,143.86082458496094,72.91398620605469,20.736114501953125,76.50666046142578,71.05520629882812,76.63721466064453,80.45291900634766,33.98959732055664,34.119998931884766,65.4800033569336,27.954540252685547,37.23760223388672,42.6848030090332,10.468910217285156,69.68907165527344,49.721275329589844,43.75432205200195,33.31962203979492,88.15769958496094,45.346927642822266
2023-02-24,46.5653076171875,27.838464736938477,27.729761123657227,21.419227600097656,34.762725830078125,47.599998474121094,169.305419921875,32.150779724121094,16.30870246887207,87.86622619628906,27.242019653320312,27.618165969848633,47.11624526977539,32.06755065917969,66.92935943603516,98.63248443603516,12.069694519042969,46.00997543334961,24.78483772277832,50.66260528564453,54.729827880859375,7.381039619445801,37.524505615234375,122.23902130126953,19.5301570892334,61.98554229736328,105.6249771118164,31.149999618530273,107.07904815673828,71.91876983642578,35.89607620239258,35.30832290649414,22.65410614013672,32.99919891357422,13.145034790039062,15.640009880065918,43.860443115234375,13.704334259033203,22.638137817382812,32.0115966796875,16.057907104492188,144.2678985595703,32.14482116699219,16.545528411865234,68.51241302490234,144.21566772460938,72.7092056274414,20.88030242919922,78.08580780029297,70.99768829345703,77.37820434570312,80.50834655761719,33.87604522705078,34.29999923706055,65.58999633789062,28.121654510498047,37.20124816894531,42.61323928833008,10.442157745361328,70.00200653076172,49.64680862426758,44.10435485839844,33.17604064941406,89.42906951904297,46.18294143676758
2023-02-27,46.64288330078125,27.27653694152832,27.57522201538086,21.364723205566406,34.744197845458984,47.61000061035156,168.3823699951172,32.150779724121094,16.47722053527832,86.90646362304688,27.214447021484375,27.58995819091797,47.47106170654297,31.921545028686523,67.05525970458984,100.02195739746094,12.089447975158691,46.275875091552734,24.748037338256836,51.12885665893555,54.655155181884766,7.32844352722168,37.39910125732422,123.16487121582031,19.5301570892334,61.65980529785156,105.03733825683594,30.969999313354492,106.34431457519531,71.97493743896484,36.24374008178711,35.146705627441406,22.562944412231445,32.78107833862305,13.181933403015137,15.7035493850708,43.79576110839844,13.722258567810059,22.722885131835938,31.86796760559082,16.044612884521484,143.2884521484375,32.046600341796875,16.461963653564453,67.82841491699219,143.496826171875,73.0700454711914,20.97041893005371,75.45064544677734,71.1701889038086,77.09320831298828,82.02300262451172,33.592166900634766,34.540000915527344,65.91999816894531,27.666730880737305,37.083126068115234,42.5595703125,10.388652801513672,70.46665954589844,49.60025405883789,44.25571823120117,32.81708526611328,89.98770141601562,46.293190002441406
2023-02-28,46.419857025146484,27.681861877441406,27.43034553527832,21.218076705932617,34.69789123535156,47.38999938964844,169.05279541015625,32.23535919189453,16.430408477783203,86.6185302734375,27.453414916992188,27.3266544342041,47.50841522216797,32.32307434082031,67.32508087158203,99.62224578857422,12.089447975158691,46.477596282958984,24.435237884521484,50.60308074951172,53.42295837402344,7.35474157333374,37.40806198120117,123.27708435058594,19.594463348388672,61.712623596191406,105.08551025390625,30.799999237060547,106.8691177368164,71.3384017944336,36.398258209228516,34.87100601196289,22.581174850463867,32.9901123046875,13.163485527038574,15.612778663635254,43.777286529541016,13.731220245361328,22.69463539123535,31.762630462646484,16.21303367614746,143.49172973632812,32.27876281738281,16.536834716796875,67.93008422851562,143.69700622558594,72.25088500976562,21.015480041503906,75.4894027709961,70.86354064941406,76.64671325683594,81.90294647216797,33.7908821105957,34.59000015258789,66.2300033569336,27.507673263549805,37.04676818847656,42.69374084472656,10.326231956481934,70.40028381347656,49.45130157470703,44.24626159667969,32.44019317626953,88.73558807373047,46.50448989868164
2023-03-01,46.29378890991211,27.700284957885742,27.46898078918457,21.346393585205078,34.65157699584961,47.279998779296875,170.91831970214844,32.08498764038086,16.2150821685791,87.06002044677734,27.517751693725586,27.401885986328125,47.172271728515625,32.295692443847656,67.13619995117188,99.09881591796875,12.05981731414795,47.22028732299805,24.33403778076172,50.06739807128906,54.68315887451172,7.284613609313965,37.2736930847168,124.38060760498047,19.98028564453125,62.223236083984375,104.60381317138672,30.670000076293945,107.76606750488281,70.9826889038086,36.069908142089844,34.54777908325195,20.183574676513672,32.890140533447266,13.228056907653809,15.712628364562988,43.53704833984375,13.713295936584473,22.873558044433594,31.456207275390625,16.3548641204834,142.466064453125,32.18946075439453,16.387096405029297,66.95952606201172,141.2310791015625,72.01683807373047,21.051525115966797,74.99531555175781,69.78069305419922,76.29521179199219,82.66952514648438,34.04637145996094,34.599998474121094,65.52999877929688,27.38604164123535,36.756004333496094,42.31806182861328,10.237058639526367,71.27269744873047,48.53898239135742,44.16111755371094,32.44019317626953,88.77413177490234,46.33911895751953
2023-03-02,45.53741455078125,27.820043563842773,26.773563385009766,20.741470336914062,34.22549819946289,46.27000045776367,170.36448669433594,31.678260803222656,16.112098693847656,85.10209655761719,27.591279983520508,26.875288009643555,46.8641357421875,31.821157455444336,66.66854858398438,97.14787292480469,11.96104621887207,47.12860107421875,23.662431716918945,48.97616195678711,54.14174270629883,7.232016086578369,36.144989013671875,122.99652099609375,19.62202262878418,60.07516860961914,104.22810363769531,30.110000610351562,107.22217559814453,69.63475036621094,34.853092193603516,34.196022033691406,19.91008949279785,32.37211608886719,13.051308631896973,15.385847091674805,42.650047302246094,13.417519569396973,22.581632614135742,31.274272918701172,15.893915176391602,139.82334899902344,31.519779205322266,16.087615966796875,65.92424774169922,136.70872497558594,70.57357788085938,20.627971649169922,73.71649169921875,67.55753326416016,74.99369812011719,81.98606872558594,33.819271087646484,34.56999969482422,65.55000305175781,27.255050659179688,35.983619689941406,41.42357635498047,10.049796104431152,70.20114135742188,48.39004135131836,43.3286018371582,31.874841690063477,87.4353256225586,44.382301330566406
2023-03-03,45.6828727722168,28.124034881591797,26.957075119018555,21.1630859375,34.46631622314453,47.439998626708984,174.00808715820312,32.31201171875,16.336790084838867,86.39778137207031,27.352312088012695,26.95992088317871,47.9286003112793,32.140560150146484,67.15419006347656,98.75621032714844,11.951169967651367,47.99964904785156,24.002840042114258,49.6209831237793,53.93636703491211,7.2758469581604,36.70934295654297,123.66050720214844,19.952726364135742,61.09638595581055,105.75987243652344,30.6299991607666,109.51220703125,70.43975830078125,35.60635757446289,34.61431884765625,19.563663482666016,32.926490783691406,13.209451675415039,15.494775772094727,42.92723846435547,13.641592979431152,22.807640075683594,31.657302856445312,16.2396297454834,142.17205810546875,32.05553436279297,16.256074905395508,66.83934783935547,139.12002563476562,71.30496215820312,21.042512893676758,74.99531555175781,68.57328796386719,75.75369262695312,83.50996398925781,34.42488098144531,35.27000045776367,66.69999694824219,27.33926010131836,36.38344955444336,42.139163970947266,10.165719985961914,71.72787475585938,48.46451187133789,44.32194519042969,32.099185943603516,88.07102966308594,45.22749710083008
2023-03-06,45.236812591552734,27.69107437133789,26.619022369384766,21.11725425720215,37.21732711791992,46.779998779296875,173.97891235351562,32.245792388916016,16.130821228027344,85.25566101074219,26.828428268432617,26.452129364013672,47.75118637084961,31.702529907226562,66.2998046875,97.97581481933594,11.97092342376709,47.843772888183594,23.837234497070312,48.79759979248047,54.113731384277344,7.0742268562316895,36.52123260498047,121.92105865478516,19.897611618041992,60.87629699707031,104.52674865722656,29.84000015258789,108.72978973388672,69.78450775146484,34.911033630371094,34.06293487548828,19.35399055480957,32.862876892089844,13.11642837524414,15.413080215454102,42.40058135986328,13.605741500854492,22.57221794128418,31.293420791625977,16.088932037353516,141.78060913085938,32.01981735229492,16.115692138671875,66.46036529541016,138.92893981933594,69.87144470214844,21.0064697265625,74.2105712890625,68.24748229980469,78.49922180175781,83.28831481933594,33.696258544921875,34.72999954223633,66.30999755859375,26.478473663330078,36.31983184814453,42.14811325073242,10.085466384887695,71.49080657958984,48.036285400390625,44.11381530761719,31.937658309936523,88.16735076904297,44.795711517333984
2023-03-07,43.35557174682617,27.10150718688965,25.952587127685547,20.27403450012207,35.883506774902344,45.47999954223633,170.34506225585938,31.214763641357422,15.784425735473633,84.74699401855469,26.6262264251709,25.81268882751465,46.21986389160156,30.69870948791504,65.67027282714844,94.33087921142578,12.2869873046875,46.83518981933594,23.55203628540039,48.341270446777344,54.12306594848633,6.890139102935791,34.657989501953125,119.44278717041016,19.640392303466797,58.63140106201172,101.64623260498047,28.90999984741211,106.28706359863281,68.15573120117188,34.737205505371094,33.83476638793945,19.408687591552734,31.163379669189453,12.800145149230957,14.841217041015625,41.227149963378906,12.951446533203125,21.978954315185547,30.6326961517334,15.557069778442383,134.39891052246094,31.698366165161133,15.73198413848877,65.13856506347656,132.59579467773438,66.46809387207031,20.1863956451416,72.6120376586914,66.6950912475586,75.8676986694336,80.0373306274414,32.7878532409668,33.630001068115234,64.47000122070312,26.300704956054688,35.12947082519531,40.78849411010742,9.764442443847656,68.17180633544922,46.584022521972656,42.05145263671875,31.09412384033203,84.74813079833984,42.664329528808594
2023-03-08,43.5592155456543,27.119932174682617,25.827022552490234,20.136552810668945,35.7908821105957,45.689998626708984,169.8689727783203,30.79857063293457,15.7095308303833,84.34388732910156,26.99386978149414,25.92552947998047,46.49998474121094,30.21504783630371,65.5803451538086,94.36895751953125,12.138833045959473,46.46842575073242,23.91083526611328,49.20433044433594,54.869850158691406,6.8638410568237305,34.11156463623047,118.33927154541016,19.55771827697754,59.247642517089844,101.09711456298828,28.889999389648438,105.53325653076172,68.22126770019531,34.486114501953125,33.50202941894531,19.463388442993164,30.618091583251953,12.623396873474121,14.841217041015625,41.39345932006836,12.942482948303223,21.77178382873535,30.891237258911133,15.344320297241211,130.8385467529297,31.448345184326172,15.675832748413086,64.95368194580078,132.05892944335938,65.64892578125,19.609643936157227,73.82305908203125,65.76557922363281,75.59219360351562,79.97267150878906,32.62698745727539,34.029998779296875,64.75,26.038724899291992,35.24760055541992,40.690101623535156,9.684186935424805,67.85888671875,45.89513397216797,41.474369049072266,31.11206817626953,83.81387329101562,42.88481903076172
